chromosome	start	end	length
Pa1	430781	432151	1370
Pa1	432151	432947	796
Pa1	437074	437872	798
Pa1	437874	438058	184
Pa1	438200	438409	209
Pa1	438500	438761	261
Pa1	438762	443542	4780
Pa1	443543	448275	4732
Pa1	448333	448614	281
Pa1	450534	450770	236
Pa1	451590	452035	445
Pa1	452049	452156	107
Pa1	452169	452589	420
Pa1	452624	453822	1198
Pa1	453822	453862	40
Pa1	454433	455908	1475
Pa1	455887	457787	1900
Pa1	466659	466716	57
Pa1	475895	477795	1900
Pa1	477774	479250	1476
Pa1	479821	479861	40
Pa1	479861	479962	101
Pa1	479960	481667	1707
Pa1	481590	481677	87
Pa1	481651	481743	92
Pa1	481751	481893	142
Pa1	481806	481956	150
Pa1	481954	483553	1599
Pa1	483554	483716	162
Pa1	483717	483792	75
Pa1	483794	483839	45
Pa1	490880	492596	1716
Pa1	492597	493173	576
Pa1	496653	498371	1718
Pa1	501883	501917	34
Pa1	504552	504632	80
Pa1	504630	504817	187
Pa1	504755	504834	79
Pa1	504814	505986	1172
Pa1	506175	506692	517
Pa1	508996	509012	16
Pa1	513330	513364	34
Pa1	518479	519133	654
Pa1	522804	526588	3784
Pa1	526585	527132	547
Pa1	527129	528570	1441
Pa1	528147	530710	2563
Pa1	539259	539309	50
Pa1	542862	543661	799
Pa1	543661	544597	936
Pa1	545148	545385	237
Pa1	554567	555228	661
Pa1	555416	555536	120
Pa1	557397	558066	669
Pa1	559640	560308	668
Pa1	560407	560523	116
Pa1	562908	563568	660
Pa1	563759	563887	128
Pa1	565749	566452	703
Pa1	566526	566701	175
Pa1	567371	567586	215
Pa1	567635	567684	49
Pa1	567945	568023	78
Pa1	568186	568487	301
Pa1	568295	569057	762
Pa1	577417	578179	762
Pa1	577987	578288	301
Pa1	578451	578529	78
Pa1	578790	578839	49
Pa1	578888	579103	215
Pa1	579773	579948	175
Pa1	580022	580725	703
Pa1	582502	582677	175
Pa1	582751	583454	703
Pa1	585907	588477	2570
Pa1	588707	588739	32
Pa1	588820	589523	703
Pa1	589597	589772	175
Pa1	589862	589918	56
Pa1	591606	591781	175
Pa1	591855	592558	703
Pa1	592639	592671	32
Pa1	595186	595218	32
Pa1	595299	596002	703
Pa1	596076	596251	175
Pa1	598085	598260	175
Pa1	598333	599037	704
Pa1	602512	603216	704
Pa1	603289	603464	175
Pa1	621564	621751	187
Pa1	623694	623722	28
Pa1	625241	625303	62
Pa1	627649	627708	59
Pa1	627943	627978	35
Pa1	629438	629490	52
Pa1	630211	630302	91
Pa1	631205	649686	18481
Pa1	654527	655936	1409
Pa1	656391	656422	31
Pa1	658076	663426	5350
Pa1	663427	677925	14498
Pa1	677888	678064	176
Pa1	678065	678643	578
Pa1	678644	678674	30
Pa1	678679	681145	2466
Pa1	681146	686246	5100
Pa1	685824	688211	2387
Pa1	700476	700512	36
Pa1	702720	702757	37
Pa1	708217	708240	23
Pa1	708241	708257	16
Pa1	708381	708494	113
Pa1	719437	720790	1353
Pa1	721267	723827	2560
Pa1	729656	729707	51
Pa1	732200	732233	33
Pa1	732476	737009	4533
Pa1	742337	742528	191
Pa1	742682	742749	67
Pa1	742761	742832	71
Pa1	742938	742961	23
Pa1	745023	745734	711
Pa1	745720	748578	2858
Pa1	748254	751021	2767
Pa1	751022	755269	4247
Pa1	755262	755623	361
Pa1	755624	756101	477
Pa1	756102	756412	310
Pa1	756414	761211	4797
Pa1	761208	762207	999
Pa1	762257	762438	181
Pa1	762480	762628	148
Pa1	762630	762799	169
Pa1	762944	762975	31
Pa1	765516	765689	173
Pa1	765981	766112	131
Pa1	766210	766753	543
Pa1	766363	771059	4696
Pa1	774153	774416	263
Pa1	774384	776983	2599
Pa1	790815	790859	44
Pa1	791000	791017	17
Pa1	791377	791441	64
Pa1	798176	798256	80
Pa1	798306	799461	1155
Pa1	799126	800370	1244
Pa1	800371	800430	59
Pa1	800432	800904	472
Pa1	801651	802054	403
Pa1	802382	803164	782
Pa1	803176	804114	938
Pa1	804151	804647	496
Pa1	804802	805498	696
Pa1	805587	805734	147
Pa1	806462	806599	137
Pa1	807753	808116	363
Pa1	808353	808826	473
Pa1	809813	810256	443
Pa1	811342	813312	1970
Pa1	816080	817078	998
Pa1	817371	817397	26
Pa1	817856	817931	75
Pa1	818246	818266	20
Pa1	819390	819410	20
Pa1	819725	819800	75
Pa1	820259	820285	26
Pa1	820578	821576	998
Pa1	824344	826314	1970
Pa1	827561	827595	34
Pa1	827786	827826	40
Pa1	828070	828110	40
Pa1	829175	829223	48
Pa1	855724	855786	62
Pa1	858485	860997	2512
Pa1	860976	861045	69
Pa1	861046	861066	20
Pa1	866883	867146	263
Pa1	875955	876218	263
Pa1	880229	880275	46
Pa1	887836	889580	1744
Pa1	889566	891209	1643
Pa1	891210	893016	1806
Pa1	893072	893147	75
Pa1	893148	893190	42
Pa1	893191	893299	108
Pa1	893227	893388	161
Pa1	897853	897885	32
Pa1	900714	903174	2460
Pa1	903175	903231	56
Pa1	903363	903428	65
Pa1	903371	903436	65
Pa1	906367	906974	607
Pa1	914996	915030	34
Pa1	916846	917296	450
Pa1	917415	917851	436
Pa1	917999	918626	627
Pa1	918620	921367	2747
Pa1	921386	922563	1177
Pa1	925066	925091	25
Pa1	926769	928549	1780
Pa1	928550	928812	262
Pa1	928879	928981	102
Pa1	929381	929407	26
Pa1	935418	935484	66
Pa1	942795	943384	589
Pa1	945872	945915	43
Pa1	950563	950869	306
Pa1	951380	951985	605
Pa1	952062	952279	217
Pa1	955097	955735	638
Pa1	957253	957808	555
Pa1	960926	961493	567
Pa1	962956	963518	562
Pa1	970277	970455	178
Pa1	970520	970827	307
Pa1	970853	971175	322
Pa1	972466	972670	204
Pa1	972675	972990	315
Pa1	972997	973335	338
Pa1	974375	974595	220
Pa1	974600	974915	315
Pa1	974922	975260	338
Pa1	976295	976452	157
Pa1	976491	976806	315
Pa1	976829	977154	325
Pa1	979607	981067	1460
Pa1	981068	981339	271
Pa1	981212	981362	150
Pa1	981477	981507	30
Pa1	987136	987198	62
Pa1	989878	990775	897
Pa1	990943	992341	1398
Pa1	997929	997947	18
Pa1	1001110	1001156	46
Pa1	1001630	1001664	34
Pa1	1003678	1004006	328
Pa1	1004032	1004339	307
Pa1	1004352	1004559	207
Pa1	1019917	1019957	40
Pa1	1020183	1022564	2381
Pa1	1022461	1022622	161
Pa1	1030449	1032276	1827
Pa1	1032274	1032788	514
Pa1	1032684	1032842	158
Pa1	1038294	1038322	28
Pa1	1038363	1038394	31
Pa1	1038822	1038846	24
Pa1	1039438	1039488	50
Pa1	1052587	1052610	23
Pa1	1054137	1054193	56
Pa1	1056742	1056782	40
Pa1	1061467	1061550	83
Pa1	1078244	1078447	203
Pa1	1078734	1080055	1321
Pa1	1080011	1080062	51
Pa1	1080072	1080128	56
Pa1	1080798	1081448	650
Pa1	1081448	1081774	326
Pa1	1081792	1082969	1177
Pa1	1082967	1083373	406
Pa1	1083374	1083565	191
Pa1	1083566	1083620	54
Pa1	1085187	1085305	118
Pa1	1085216	1085320	104
Pa1	1087291	1087494	203
Pa1	1087781	1089102	1321
Pa1	1089058	1089109	51
Pa1	1089119	1089175	56
Pa1	1089845	1090495	650
Pa1	1090495	1090821	326
Pa1	1090839	1092016	1177
Pa1	1092014	1092420	406
Pa1	1092421	1092612	191
Pa1	1092613	1092667	54
Pa1	1094234	1094352	118
Pa1	1094263	1094367	104
Pa1	1096338	1096541	203
Pa1	1096828	1098149	1321
Pa1	1098105	1098156	51
Pa1	1098166	1098222	56
Pa1	1098892	1099542	650
Pa1	1099542	1099868	326
Pa1	1099886	1101063	1177
Pa1	1101061	1101235	174
Pa1	1101236	1101529	293
Pa1	1101530	1101573	43
Pa1	1101574	1101718	144
Pa1	1101684	1103248	1564
Pa1	1103382	1103429	47
Pa1	1103430	1103876	446
Pa1	1103770	1109476	5706
Pa1	1109477	1109620	143
Pa1	1109621	1109669	48
Pa1	1111231	1111349	118
Pa1	1111260	1111364	104
Pa1	1113335	1113538	203
Pa1	1113825	1115146	1321
Pa1	1115102	1115153	51
Pa1	1115163	1115219	56
Pa1	1115889	1116539	650
Pa1	1116539	1116865	326
Pa1	1116883	1118060	1177
Pa1	1118058	1119696	1638
Pa1	1119714	1121648	1934
Pa1	1122150	1122258	108
Pa1	1123321	1123365	44
Pa1	1123410	1123736	326
Pa1	1123780	1124074	294
Pa1	1126673	1126689	16
Pa1	1129537	1129847	310
Pa1	1131588	1135151	3563
Pa1	1135141	1136812	1671
Pa1	1135354	1138096	2742
Pa1	1138098	1138829	731
Pa1	1139915	1140254	339
Pa1	1142811	1142978	167
Pa1	1145530	1145866	336
Pa1	1145881	1146196	315
Pa1	1146211	1146384	173
Pa1	1148209	1148520	311
Pa1	1148278	1148534	256
Pa1	1148560	1148872	312
Pa1	1149503	1149765	262
Pa1	1151939	1152252	313
Pa1	1152289	1152600	311
Pa1	1156244	1158055	1811
Pa1	1163675	1163713	38
Pa1	1177153	1177189	36
Pa1	1178184	1178202	18
Pa1	1180743	1180891	148
Pa1	1180764	1181038	274
Pa1	1181283	1182014	731
Pa1	1184712	1184730	18
Pa1	1185725	1185761	36
Pa1	1186241	1186782	541
Pa1	1186570	1187419	849
Pa1	1188245	1188365	120
Pa1	1188367	1188445	78
Pa1	1188461	1190049	1588
Pa1	1190062	1190096	34
Pa1	1190133	1190524	391
Pa1	1190525	1191002	477
Pa1	1190984	1192192	1208
Pa1	1192396	1193117	721
Pa1	1193119	1200067	6948
Pa1	1200061	1200370	309
Pa1	1200373	1200426	53
Pa1	1200663	1200703	40
Pa1	1201198	1201252	54
Pa1	1203996	1204042	46
Pa1	1213113	1215508	2395
Pa1	1216278	1217348	1070
Pa1	1218062	1219129	1067
Pa1	1219648	1220715	1067
Pa1	1221429	1222499	1070
Pa1	1227303	1228367	1064
Pa1	1228386	1228418	32
Pa1	1236020	1237084	1064
Pa1	1237973	1239037	1064
Pa1	1239869	1240933	1064
Pa1	1252791	1253016	225
Pa1	1253004	1253138	134
Pa1	1253533	1253677	144
Pa1	1253871	1253909	38
Pa1	1256519	1256550	31
Pa1	1260300	1260326	26
Pa1	1272039	1272101	62
Pa1	1272219	1272288	69
Pa1	1275763	1275797	34
Pa1	1276368	1276444	76
Pa1	1279974	1284514	4540
Pa1	1285222	1285272	50
Pa1	1286467	1286496	29
Pa1	1289483	1289529	46
Pa1	1289533	1289554	21
Pa1	1290581	1291647	1066
Pa1	1292332	1298908	6576
Pa1	1317426	1317454	28
Pa1	1320184	1320380	196
Pa1	1320390	1320705	315
Pa1	1320735	1321053	318
Pa1	1326013	1326083	70
Pa1	1327661	1327678	17
Pa1	1340172	1340188	16
Pa1	1342329	1342386	57
Pa1	1346175	1347923	1748
Pa1	1353301	1353353	52
Pa1	1356556	1356599	43
Pa1	1357055	1357094	39
Pa1	1357267	1357922	655
Pa1	1357917	1358067	150
Pa1	1357938	1358454	516
Pa1	1358444	1359050	606
Pa1	1364844	1365178	334
Pa1	1365169	1365921	752
Pa1	1384751	1384783	32
Pa1	1385232	1385296	64
Pa1	1390929	1390972	43
Pa1	1394075	1394100	25
Pa1	1394680	1394753	73
Pa1	1394753	1399242	4489
Pa1	1400298	1400334	36
Pa1	1400628	1400676	48
Pa1	1402180	1402232	52
Pa1	1402961	1403084	123
Pa1	1412444	1416908	4464
Pa1	1416925	1417090	165
Pa1	1426068	1426100	32
Pa1	1436410	1436457	47
Pa1	1444485	1444506	21
Pa1	1446562	1447314	752
Pa1	1447315	1451906	4591
Pa1	1451907	1471920	20013
Pa1	1464822	1475270	10448
Pa1	1475271	1479862	4591
Pa1	1479863	1494896	15033
Pa1	1495498	1495551	53
Pa1	1495689	1500237	4548
Pa1	1502179	1502198	19
Pa1	1518048	1518088	40
Pa1	1518441	1518658	217
Pa1	1518658	1520011	1353
Pa1	1520033	1520068	35
Pa1	1520065	1521133	1068
Pa1	1524450	1524478	28
Pa1	1524656	1524689	33
Pa1	1531462	1531500	38
Pa1	1537540	1541465	3925
Pa1	1547077	1547110	33
Pa1	1548746	1548770	24
Pa1	1550684	1550708	24
Pa1	1552344	1552377	33
Pa1	1565860	1570383	4523
Pa1	1571960	1572040	80
Pa1	1573302	1573342	40
Pa1	1576410	1576454	44
Pa1	1577748	1577779	31
Pa1	1580893	1580938	45
Pa1	1583459	1583488	29
Pa1	1585521	1585574	53
Pa1	1585885	1585995	110
Pa1	1585994	1586802	808
Pa1	1586590	1587269	679
Pa1	1587010	1587381	371
Pa1	1587370	1587519	149
Pa1	1587457	1587542	85
Pa1	1587519	1588336	817
Pa1	1588332	1589983	1651
Pa1	1590504	1591378	874
Pa1	1593081	1593106	25
Pa1	1593647	1594063	416
Pa1	1594065	1594119	54
Pa1	1594098	1594700	602
Pa1	1595325	1595756	431
Pa1	1595760	1596176	416
Pa1	1596717	1596742	25
Pa1	1598445	1599319	874
Pa1	1599840	1601498	1658
Pa1	1601970	1602443	473
Pa1	1603735	1603776	41
Pa1	1607016	1607592	576
Pa1	1607661	1607720	59
Pa1	1607722	1607998	276
Pa1	1607999	1609970	1971
Pa1	1609955	1610445	490
Pa1	1610447	1618048	7601
Pa1	1617884	1618529	645
Pa1	1618530	1618936	406
Pa1	1618991	1619266	275
Pa1	1619375	1620251	876
Pa1	1620358	1621276	918
Pa1	1621278	1622173	895
Pa1	1622178	1622820	642
Pa1	1622657	1630226	7569
Pa1	1630228	1630705	477
Pa1	1630706	1631166	460
Pa1	1631168	1631930	762
Pa1	1631931	1631988	57
Pa1	1631990	1632265	275
Pa1	1632275	1633848	1573
Pa1	1635010	1635318	308
Pa1	1641559	1641578	19
Pa1	1653104	1653523	419
Pa1	1653600	1653656	56
Pa1	1653657	1654302	645
Pa1	1654138	1661838	7700
Pa1	1661840	1662326	486
Pa1	1662318	1662399	81
Pa1	1662668	1663403	735
Pa1	1669477	1669507	30
Pa1	1669569	1669588	19
Pa1	1673091	1673164	73
Pa1	1673164	1675208	2044
Pa1	1673597	1675488	1891
Pa1	1675350	1677764	2414
Pa1	1686458	1686490	32
Pa1	1690037	1690064	27
Pa1	1712296	1713324	1028
Pa1	1716119	1716162	43
Pa1	1716425	1716468	43
Pa1	1716671	1716714	43
Pa1	1717001	1717044	43
Pa1	1717247	1717290	43
Pa1	1717541	1717584	43
Pa1	1717883	1717926	43
Pa1	1718141	1718184	43
Pa1	1718471	1718514	43
Pa1	1718777	1718820	43
Pa1	1719023	1719066	43
Pa1	1719281	1719324	43
Pa1	1719623	1719666	43
Pa1	1719893	1719936	43
Pa1	1720175	1720218	43
Pa1	1720433	1720476	43
Pa1	1720703	1720746	43
Pa1	1720973	1721016	43
Pa1	1721231	1721274	43
Pa1	1721513	1721556	43
Pa1	1721795	1721838	43
Pa1	1722077	1722120	43
Pa1	1722359	1722402	43
Pa1	1722641	1722684	43
Pa1	1722923	1722966	43
Pa1	1723193	1723236	43
Pa1	1723475	1723518	43
Pa1	1723757	1723800	43
Pa1	1724015	1724058	43
Pa1	1724483	1724526	43
Pa1	1724753	1724796	43
Pa1	1725221	1725264	43
Pa1	1725491	1725534	43
Pa1	1725773	1725816	43
Pa1	1726031	1726074	43
Pa1	1726313	1726356	43
Pa1	1726595	1726638	43
Pa1	1726853	1726896	43
Pa1	1727135	1727178	43
Pa1	1727417	1727460	43
Pa1	1727771	1727814	43
Pa1	1728053	1728096	43
Pa1	1728335	1728378	43
Pa1	1728689	1728732	43
Pa1	1728959	1729002	43
Pa1	1729241	1729284	43
Pa1	1729499	1729542	43
Pa1	1729781	1729824	43
Pa1	1730027	1730070	43
Pa1	1730309	1730352	43
Pa1	1730567	1730610	43
Pa1	1730849	1730892	43
Pa1	1731095	1731138	43
Pa1	1731377	1731420	43
Pa1	1731635	1731678	43
Pa1	1731941	1731984	43
Pa1	1732199	1732242	43
Pa1	1732481	1732524	43
Pa1	1732859	1732902	43
Pa1	1733129	1733172	43
Pa1	1733387	1733430	43
Pa1	1733657	1733700	43
Pa1	1733915	1733958	43
Pa1	1734383	1734426	43
Pa1	1734653	1734696	43
Pa1	1734923	1734966	43
Pa1	1735193	1735236	43
Pa1	1735463	1735506	43
Pa1	1735721	1735764	43
Pa1	1736189	1736232	43
Pa1	1736459	1736502	43
Pa1	1736729	1736772	43
Pa1	1737083	1737126	43
Pa1	1737365	1737408	43
Pa1	1737623	1737666	43
Pa1	1737905	1737948	43
Pa1	1738187	1738230	43
Pa1	1738541	1738584	43
Pa1	1738823	1738866	43
Pa1	1739105	1739148	43
Pa1	1739387	1739430	43
Pa1	1739645	1739688	43
Pa1	1739915	1739958	43
Pa1	1740173	1740216	43
Pa1	1740455	1740498	43
Pa1	1740713	1740756	43
Pa1	1740995	1741038	43
Pa1	1741253	1741296	43
Pa1	1741535	1741578	43
Pa1	1741805	1741848	43
Pa1	1742087	1742130	43
Pa1	1742369	1742412	43
Pa1	1742651	1742694	43
Pa1	1742921	1742964	43
Pa1	1743167	1743210	43
Pa1	1743425	1743468	43
Pa1	1743683	1743726	43
Pa1	1743977	1744020	43
Pa1	1744259	1744302	43
Pa1	1744541	1744584	43
Pa1	1744883	1744926	43
Pa1	1745153	1745196	43
Pa1	1745435	1745478	43
Pa1	1745777	1745820	43
Pa1	1746047	1746090	43
Pa1	1746305	1746348	43
Pa1	1746563	1746606	43
Pa1	1746833	1746876	43
Pa1	1747595	1747683	88
Pa1	1747892	1747980	88
Pa1	1748189	1748277	88
Pa1	1748486	1748574	88
Pa1	1748783	1748871	88
Pa1	1749080	1749168	88
Pa1	1749377	1749465	88
Pa1	1749674	1749762	88
Pa1	1749971	1750059	88
Pa1	1751411	1751440	29
Pa1	1760057	1760089	32
Pa1	1760664	1760688	24
Pa1	1764689	1764722	33
Pa1	1765025	1765034	9
Pa1	1765035	1765056	21
Pa1	1765057	1765084	27
Pa1	1774418	1774459	41
Pa1	1774662	1774703	41
Pa1	1774695	1774889	194
Pa1	1774775	1776320	1545
Pa1	1776388	1776462	74
Pa1	1778222	1778319	97
Pa1	1778315	1779275	960
Pa1	1779324	1779385	61
Pa1	1779337	1781353	2016
Pa1	1781378	1783699	2321
Pa1	1786622	1786669	47
Pa1	1786662	1786697	35
Pa1	1791546	1791822	276
Pa1	1791824	1791888	64
Pa1	1792313	1792369	56
Pa1	1792952	1792988	36
Pa1	1793131	1793424	293
Pa1	1793426	1793921	495
Pa1	1793923	1794398	475
Pa1	1794400	1794445	45
Pa1	1794457	1794749	292
Pa1	1795167	1795343	176
Pa1	1799578	1799944	366
Pa1	1799944	1801695	1751
Pa1	1801696	1802846	1150
Pa1	1802847	1803186	339
Pa1	1803177	1803415	238
Pa1	1803405	1803893	488
Pa1	1803895	1811595	7700
Pa1	1811431	1812074	643
Pa1	1812075	1813264	1189
Pa1	1813272	1813902	630
Pa1	1813893	1815316	1423
Pa1	1815324	1815954	630
Pa1	1815945	1817368	1423
Pa1	1817376	1818006	630
Pa1	1817997	1819420	1423
Pa1	1819428	1820058	630
Pa1	1820049	1821472	1423
Pa1	1821480	1822110	630
Pa1	1822101	1823524	1423
Pa1	1823532	1824162	630
Pa1	1824153	1825576	1423
Pa1	1825584	1826214	630
Pa1	1826205	1827628	1423
Pa1	1827636	1828266	630
Pa1	1828257	1833755	5498
Pa1	1833756	1835071	1315
Pa1	1835072	1855701	20629
Pa1	1855702	1863687	7985
Pa1	1863688	1864112	424
Pa1	1864113	1865926	1813
Pa1	1865925	1869484	3559
Pa1	1869456	1872181	2725
Pa1	1872166	1873143	977
Pa1	1873136	1875615	2479
Pa1	1875615	1879141	3526
Pa1	1879141	1884480	5339
Pa1	1884481	1884832	351
Pa1	1884829	1884922	93
Pa1	1884923	1889698	4775
Pa1	1889699	1890482	783
Pa1	1890483	1891759	1276
Pa1	1891760	1895161	3401
Pa1	1895148	1896022	874
Pa1	1896021	1900836	4815
Pa1	1900829	1904758	3929
Pa1	1904751	1906180	1429
Pa1	1906181	1908003	1822
Pa1	1908004	1909433	1429
Pa1	1909426	1915304	5878
Pa1	1915297	1916721	1424
Pa1	1916722	1919829	3107
Pa1	1919830	1921251	1421
